x	y	classify	taxa	attr1	attr2
7.6	14.6	2	A79	7.6	14.6
8.55	14.65	2	A80	8.55	14.65
8.2	15.5	2	A81	8.2	15.5
7.9	16.1	2	A82	7.9	16.1
8.05	16.5	2	A83	8.05	16.5
7.8	17	2	A84	7.8	17
8	17.45	2	A85	8	17.45
8.4	18.1	2	A86	8.4	18.1
8.65	17.75	2	A87	8.65	17.75
8.9	17.1	2	A88	8.9	17.1
8.4	17.1	2	A89	8.4	17.1
8.65	16.65	2	A90	8.65	16.65
8.45	16.05	2	A91	8.45	16.05
8.85	15.35	2	A92	8.85	15.35
9.6	15.3	2	A93	9.6	15.3
9.15	16	2	A94	9.15	16
10.2	16	2	A95	10.2	16
9.5	16.65	2	A96	9.5	16.65
10.75	16.6	2	A97	10.75	16.6
10.45	17.2	2	A98	10.45	17.2
9.85	17.1	2	A99	9.85	17.1
9.4	17.6	2	A100	9.4	17.6
10.15	17.7	2	A101	10.15	17.7
9.85	18.15	2	A102	9.85	18.15
9.05	18.25	2	A103	9.05	18.25
9.3	18.7	2	A104	9.3	18.7
9.15	19.15	2	A105	9.15	19.15
8.5	18.8	2	A106	8.5	18.8
11.65	17.45	2	A107	11.65	17.45
11.1	17.65	2	A108	11.1	17.65
10.4	18.25	2	A109	10.4	18.25
10	18.95	2	A110	10	18.95
11.95	18.25	2	A111	11.95	18.25
11.25	18.4	2	A112	11.25	18.4
10.6	18.9	2	A113	10.6	18.9
11.15	19	2	A114	11.15	19
11.9	18.85	2	A115	11.9	18.85
12.6	18.9	2	A116	12.6	18.9
11.8	19.45	2	A117	11.8	19.45
11.05	19.45	2	A118	11.05	19.45
10.3	19.4	2	A119	10.3	19.4
9.9	19.75	2	A120	9.9	19.75
10.45	20	2	A121	10.45	20
13.05	19.9	2	A122	13.05	19.9
12.5	19.75	2	A123	12.5	19.75
11.9	20.05	2	A124	11.9	20.05
11.2	20.25	2	A125	11.2	20.25
10.85	20.85	2	A126	10.85	20.85
11.4	21.25	2	A127	11.4	21.25
11.7	20.6	2	A128	11.7	20.6
12.3	20.45	2	A129	12.3	20.45
12.95	20.55	2	A130	12.95	20.55
12.55	20.95	2	A131	12.55	20.95
12.05	21.25	2	A132	12.05	21.25
11.75	22.1	2	A133	11.75	22.1
12.25	21.85	2	A134	12.25	21.85
12.8	21.5	2	A135	12.8	21.5
13.55	21	2	A136	13.55	21
13.6	21.6	2	A137	13.6	21.6
12.95	22	2	A138	12.95	22
12.5	22.25	2	A139	12.5	22.25
12.2	22.85	2	A140	12.2	22.85
12.7	23.35	2	A141	12.7	23.35
13	22.7	2	A142	13	22.7
13.55	22.2	2	A143	13.55	22.2
14.05	22.25	2	A144	14.05	22.25
14.2	23.05	2	A145	14.2	23.05
14.1	23.6	2	A146	14.1	23.6
13.5	22.8	2	A147	13.5	22.8
13.35	23.5	2	A148	13.35	23.5
13.3	24	2	A149	13.3	24
7.3	19.15	3	A150	7.3	19.15
7.95	19.35	3	A151	7.95	19.35
7.7	20.05	3	A152	7.7	20.05
6.75	19.9	3	A153	6.75	19.9
5.25	20.35	3	A154	5.25	20.35
6.15	20.7	3	A155	6.15	20.7
7	20.7	3	A156	7	20.7
7.6	21.2	3	A157	7.6	21.2
8.55	20.6	3	A158	8.55	20.6
9.35	20.5	3	A159	9.35	20.5
8.3	21.45	3	A160	8.3	21.45
7.9	21.6	3	A161	7.9	21.6
7.15	21.75	3	A162	7.15	21.75
6.7	21.3	3	A163	6.7	21.3
5.2	21.1	3	A164	5.2	21.1
6.2	21.95	4	A165	6.2	21.95
6.75	22.4	4	A166	6.75	22.4
6.15	22.5	4	A167	6.15	22.5
5.65	22.2	4	A168	5.65	22.2
4.65	22.55	4	A169	4.65	22.55
4.1	23.45	4	A170	4.1	23.45
5.35	22.8	4	A171	5.35	22.8
7.4	22.6	4	A172	7.4	22.6
7.75	22.1	4	A173	7.75	22.1
8.5	22.3	4	A174	8.5	22.3
9.3	22	4	A175	9.3	22
9.7	22.95	4	A176	9.7	22.95
8.8	22.95	4	A177	8.8	22.95
8.05	22.9	4	A178	8.05	22.9
7.6	23.15	4	A179	7.6	23.15
6.85	23	4	A180	6.85	23
6.2	23.25	4	A181	6.2	23.25
5.7	23.4	4	A182	5.7	23.4
5.1	23.55	4	A183	5.1	23.55
4.55	24.15	4	A184	4.55	24.15
5.5	24	4	A185	5.5	24
6.1	24.05	4	A186	6.1	24.05
6.5	23.6	4	A187	6.5	23.6
6.75	23.95	4	A188	6.75	23.95
7.3	23.75	4	A189	7.3	23.75
8.3	23.4	4	A190	8.3	23.4
8.9	23.7	4	A191	8.9	23.7
9.55	23.65	4	A192	9.55	23.65
10.35	24.1	4	A193	10.35	24.1
7.95	24.05	4	A194	7.95	24.05
3.95	24.4	4	A195	3.95	24.4
3.75	25.25	4	A196	3.75	25.25
3.9	25.95	4	A197	3.9	25.95
4.55	26.65	4	A198	4.55	26.65
5.25	26.75	4	A199	5.25	26.75
6.5	27.6	4	A200	6.5	27.6
7.45	27.6	4	A201	7.45	27.6
8.35	27.35	4	A202	8.35	27.35
9.25	27.2	4	A203	9.25	27.2
9.95	26.5	4	A204	9.95	26.5
10.55	25.6	4	A205	10.55	25.6
9.9	24.95	4	A206	9.9	24.95
9.2	24.5	4	A207	9.2	24.5
8.55	24.2	4	A208	8.55	24.2
8.8	24.8	4	A209	8.8	24.8
9.2	25.35	4	A210	9.2	25.35
9.55	26.05	4	A211	9.55	26.05
9.05	26.6	4	A212	9.05	26.6
8.8	25.8	4	A213	8.8	25.8
8.15	26.35	4	A214	8.15	26.35
8.05	25.8	4	A215	8.05	25.8
8.35	25.2	4	A216	8.35	25.2
7.9	25.3	4	A217	7.9	25.3
8.05	24.7	4	A218	8.05	24.7
7.3	24.4	4	A219	7.3	24.4
7.55	24.85	4	A220	7.55	24.85
6.85	24.45	4	A221	6.85	24.45
6.25	24.65	4	A222	6.25	24.65
5.55	24.5	4	A223	5.55	24.5
4.65	25.1	4	A224	4.65	25.1
5	25.55	4	A225	5	25.55
5.55	26.1	4	A226	5.55	26.1
5.55	25.25	4	A227	5.55	25.25
6.2	25.2	4	A228	6.2	25.2
6.8	25.05	4	A229	6.8	25.05
7.4	25.25	4	A230	7.4	25.25
6.65	25.45	4	A231	6.65	25.45
6.15	25.8	4	A232	6.15	25.8
6.5	26.1	4	A233	6.5	26.1
6.6	26.6	4	A234	6.6	26.6
7.7	26.65	4	A235	7.7	26.65
7.5	26.2	4	A236	7.5	26.2
7.5	25.65	4	A237	7.5	25.65
7.05	25.85	4	A238	7.05	25.85
6.9	27.15	4	A239	6.9	27.15
6.15	26.9	4	A240	6.15	26.9
